what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417095000046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417095000056
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417095002927
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1417095004642
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1417095006105
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1417095008737
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1417095010037
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1417095015563
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1417095020185
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1417095020795
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1417095021699
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1417095022279
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1417095022819
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1417095023379
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1417095027634
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1417095029564
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1417095033744
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1417095035815
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1417095039076
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1417095041226
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1417095043377
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1417095045447
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1417095047767
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1417095049619
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1417095051889
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1417095053689
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417095097416
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417095101513
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417095102553
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417095118541
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1417095120901
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1417095130151
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1417095131782
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417095132922
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417095138662
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417095148041
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417095149972
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417095151364
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417095152994
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417095156004
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417095158074
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417095160184
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417095161724
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417095163594
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417095165434
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1417095166935
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1417095169515
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1417095171325
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1417095172905
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1417095185029
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417095188186
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417095257115
opened,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1417095257527
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1417095257647
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1417095264171
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417095271959
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417095272729
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1417095273810
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1417095276222
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1417095277654
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1417095281907
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1417095285587
