what,kind,bundleId,bundleVersion,description,time
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1412855635462
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1412855639810
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412855642522
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1412855646985
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1412855647673
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1412855648042
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1412855648234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1412855648506
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1412855648809
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1412855649690
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1412855649874
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1412855650041
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1412855650202
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1412855650393
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1412855650537
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1412855650713
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1412855650873
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1412855651145
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1412855651321
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1412855651506
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1412855651673
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1412855652685
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412855655899
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412855656847
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412855658780
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412855659717
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1412855661221
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412855697618
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412855698505
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412855698681
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1412855704366
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1412855717731
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1412855724645
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412855726697
error,log,,,"Unhandled event loop exception",1412855756711
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1412855762503
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1412855782676
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1412855784176
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412855785481
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1412855794171
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412855799002
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412855801217
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412855804337
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412855805101
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412855806074
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412855883243
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412855884754
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412855945425
